France	Castellet
Straight	465.949	0.000
Left	5.364	1856.545
Left	5.199	1405.711
Left	5.040	1044.142
Left	4.896	620.180
Left	4.749	422.607
Left	4.617	319.491
Left	4.504	259.096
Left	4.399	227.794
Left	4.306	221.846
Left	4.234	197.317
Left	4.160	166.706
Left	4.092	135.277
Left	4.035	112.111
Left	3.990	95.456
Left	3.952	87.089
Left	3.928	79.128
Left	3.908	76.605
Left	3.905	76.718
Left	3.907	77.125
Left	3.921	78.108
Left	3.935	81.525
Left	3.954	84.072
Left	3.962	86.413
Left	3.963	87.945
Left	3.960	87.809
Left	3.953	82.942
Left	3.940	81.840
Left	3.942	79.778
Left	3.940	81.164
Left	3.947	85.765
Left	3.955	103.256
Left	3.983	141.089
Left	4.008	317.366
Right	4.046	787.304
Right	4.055	185.846
Right	4.062	115.195
Right	4.056	87.453
Right	4.038	78.025
Right	4.017	76.716
Right	4.009	79.291
Right	4.003	80.950
Right	4.011	81.584
Right	4.016	84.204
Right	4.030	86.475
Right	4.039	87.415
Right	4.056	89.196
Right	4.067	98.467
Right	4.107	97.559
Right	4.141	96.489
Right	4.193	91.247
Right	4.244	86.438
Right	4.294	84.811
Right	4.340	85.876
Right	4.393	84.417
Right	4.428	85.985
Right	4.481	94.141
Right	4.534	101.943
Right	4.581	113.787
Right	4.610	138.840
Right	4.648	172.331
Right	4.679	190.749
Right	4.707	211.059
Right	4.733	254.247
Right	4.771	281.620
Right	4.822	309.462
Right	4.862	346.259
Right	4.912	357.454
Right	4.964	376.026
Right	5.012	402.638
Right	5.061	462.848
Right	5.105	562.773
Right	5.145	725.369
Right	5.186	820.929
Right	5.226	1008.525
Right	5.266	1158.323
Right	5.296	1243.289
Right	5.324	1362.923
Right	5.350	1736.501
Straight	38.315	0.000
Left	5.607	1953.990
Left	5.642	1398.761
Left	5.677	1140.802
Left	5.705	964.534
Left	5.732	833.155
Left	5.764	769.768
Left	5.788	729.766
Left	5.818	679.162
Left	5.851	658.476
Left	5.880	672.494
Left	5.909	661.509
Left	5.938	611.294
Left	5.967	563.582
Left	5.986	517.397
Left	6.012	476.023
Left	6.029	454.087
Left	6.053	452.160
Left	6.076	452.251
Left	6.104	457.621
Left	6.131	454.028
Left	6.155	453.285
Left	6.174	441.496
Left	6.190	441.764
Left	6.200	440.315
Left	6.216	446.565
Left	6.237	453.654
Left	6.259	470.868
Left	6.280	483.149
Left	6.304	510.203
Left	6.329	581.653
Left	6.343	740.383
Left	6.356	1113.044
Straight	19.177	0.000
Right	6.428	1536.994
Right	6.448	967.591
Right	6.464	709.974
Right	6.480	575.377
Right	6.502	528.159
Right	6.520	514.670
Right	6.535	521.947
Right	6.550	534.566
Right	6.565	522.961
Right	6.566	491.589
Right	6.502	476.664
Right	6.376	492.119
Right	6.204	502.987
Right	5.993	462.337
Right	5.737	421.474
Right	5.507	359.521
Right	5.312	268.331
Right	5.129	211.498
Right	4.961	186.085
Right	4.809	159.283
Right	4.676	140.329
Right	4.562	126.114
Right	4.454	111.832
Right	4.353	97.939
Right	4.277	89.658
Right	4.217	83.399
Right	4.149	80.711
Right	4.097	77.981
Right	4.060	74.998
Right	4.029	72.245
Right	3.992	72.329
Right	3.985	73.331
Right	3.989	76.951
Right	4.005	84.374
Right	4.012	95.379
Right	3.998	108.769
Right	3.946	134.513
Right	3.872	196.459
Right	3.766	413.106
Left	3.648	1329.844
Left	3.546	234.748
Left	3.459	133.161
Left	3.383	91.555
Left	3.313	75.683
Left	3.272	61.668
Left	3.220	57.083
Left	3.181	51.638
Left	3.134	50.465
Left	3.098	47.532
Left	3.056	47.316
Left	3.030	45.372
Left	2.997	44.972
Left	2.972	45.202
Left	2.954	44.522
Left	2.939	45.666
Left	2.938	45.779
Left	2.951	47.587
Left	2.981	47.515
Left	3.015	51.405
Left	3.064	54.063
Left	3.112	59.040
Left	3.169	64.046
Left	3.222	71.396
Left	3.281	78.050
Left	3.336	85.571
Left	3.402	86.760
Left	3.461	90.737
Left	3.531	96.150
Left	3.596	98.536
Left	3.645	104.164
Left	3.646	127.106
Left	3.589	161.337
Left	3.493	225.314
Left	3.361	408.337
Straight	3.205	0.000
Right	3.052	452.148
Right	2.931	215.669
Right	2.809	139.141
Right	2.689	95.504
Right	2.578	69.429
Right	2.475	53.098
Right	2.374	42.047
Right	2.286	33.923
Right	2.217	29.056
Right	2.158	26.574
Right	2.116	24.456
